complaint_id,customer_id,complaint_date,product,sub_product,issue,sub_issue,complaint_channel,customer_age,customer_segment,geography,account_tenure_months,transaction_frequency,monthly_spend,complaint_text,response_date,resolution_date,resolution_status,resolution_type,escalation_flag,satisfaction_score,agent_team,resolution_time_days,sla_breach_flag,repeat_complaint_flag,severity_level
CXP-2024-00191,CUST-10008,2024-10-22 20:53:00,Personal Loans,Emergency Express Loan,Loan Payoff & Closing,Title release delayed post payment,Web Portal,54,Premium Cardholder,Southeast,48,71,10009.77,Extremely frustrated with the title release delayed post payment on my Emergency Express Loan. This has happened multiple times and customer support failed to resolve it promptly.,2024-10-23 13:53:00,2024-10-23 22:53:00,Closed with Explanation,Policy Explanation,0,4.0,Tier 1 General,1.08,0,0,LOW
CXP-2024-00198,CUST-10008,2025-01-15 17:35:00,Credit Card,Basic Credit Card,Rewards Redemption Failure,Points failed to credit after promotion,Web Portal,54,Premium Cardholder,Southeast,48,71,10009.77,Extremely frustrated with the points failed to credit after promotion on my Basic Credit Card. This has happened multiple times and customer support failed to resolve it promptly.,2025-01-16 02:35:00,2025-01-17 02:35:00,Closed with Explanation,Dispute Denied,0,4.0,Tier 1 General,1.38,0,1,HIGH
CXP-2024-00487,CUST-10010,2025-01-31 08:54:00,Savings Account,Certificate of Deposit (CD),Account Maintenance,Joint owner addition delayed,Phone / Contact Center,58,Mass Market,Midwest,39,7,1141.68,Disputed charge and joint owner addition delayed on Certificate of Deposit (CD). The app crashed and agent on phone was unable to waive fees.,2025-02-01 04:54:00,2025-02-01 18:54:00,Closed with Explanation,Dispute Denied,0,4.0,Tier 1 General,1.42,0,0,LOW
CXP-2024-00411,CUST-10011,2024-09-03 08:48:00,Personal Loans,Unsecured Fixed Loan,Loan Payoff & Closing,Payoff quote expired early,Mobile App,49,Small Business,Southeast,57,74,12824.32,Disputed charge and payoff quote expired early on Unsecured Fixed Loan. The app crashed and agent on phone was unable to waive fees.,2024-09-04 03:48:00,2024-09-08 11:48:00,Closed with Monetary Relief,Fee Waived,0,3.0,Tier 1 General,5.12,1,0,MEDIUM
CXP-2024-00043,CUST-10011,2025-07-30 20:50:00,Digital Banking,Mobile App Android,Mobile App Access/Outage,App crashing upon biometric login,Mobile App,49,Small Business,Southeast,57,74,12824.32,Filing a formal complaint about app crashing upon biometric login. Resolution has taken too long and I am considering closing my account.,2025-07-31 18:50:00,2025-08-04 03:50:00,Closed with Non-Monetary Relief,Full Refund,0,4.0,Digital Tech Support,4.29,0,0,MEDIUM
CXP-2024-00116,CUST-10012,2024-11-04 17:28:00,Savings Account,High Yield Savings,Interest Rate Dispute,Promotional APY rate dropped early,Mobile App,71,Mass Market,Southeast,6,8,1898.66,Urgent issue: Promotional APY rate dropped early regarding Savings Account. I request an immediate refund and resolution. My account tenure is 6 months and I expect better service.,2024-11-05 00:28:00,2024-11-06 23:28:00,Closed with Explanation,Policy Explanation,0,4.0,Tier 1 General,2.25,0,0,LOW
CXP-2024-00314,CUST-10012,2025-12-21 12:10:00,Credit Card,Cash Back Preferred,Interest Rate Dispute,Interest charged during promotional 0% period,Web Portal,71,Mass Market,Southeast,6,8,1898.66,Disputed charge and interest charged during promotional 0% period on Cash Back Preferred. The app crashed and agent on phone was unable to waive fees.,2025-12-22 11:10:00,2025-12-26 14:10:00,Closed with Explanation,Dispute Denied,0,2.0,Tier 1 General,5.08,1,0,MEDIUM
CXP-2024-00295,CUST-10014,2024-11-20 19:30:00,Credit Card,Platinum Rewards Card,Credit Line Decrease,Credit score drop notification error,Phone / Contact Center,50,Mass Market,Southwest,42,3,613.27,I am writing regarding my Platinum Rewards Card account. I encountered a severe credit score drop notification error on 2024-11-20. I tried resolving this via Phone / Contact Center but the service was disappointing.,2024-11-21 18:30:00,2024-11-24 06:30:00,Closed with Explanation,Policy Explanation,0,1.0,Tier 1 General,3.46,0,0,LOW
CXP-2024-00290,CUST-10014,2025-04-26 19:40:00,Personal Loans,Debt Consolidation Loan,Interest Rate Dispute,Variable rate increase dispute,Mobile App,50,Mass Market,Southwest,42,3,613.27,Urgent issue: Variable rate increase dispute regarding Personal Loans. I request an immediate refund and resolution. My account tenure is 42 months and I expect better service.,2025-04-26 22:40:00,2025-04-28 07:40:00,Closed with Non-Monetary Relief,Full Refund,0,3.0,Tier 1 General,1.5,0,0,LOW
CXP-2024-00075,CUST-10016,2025-03-23 17:12:00,Savings Account,Certificate of Deposit (CD),Account Maintenance,Paper statement fee dispute,Mobile App,31,Premium Cardholder,Southeast,45,38,7502.5,Disputed charge and paper statement fee dispute on Certificate of Deposit (CD). The app crashed and agent on phone was unable to waive fees.,2025-03-24 06:12:00,2025-03-24 19:12:00,Closed with Monetary Relief,Statement Credit,0,4.0,Tier 1 General,1.08,0,0,LOW
CXP-2024-00289,CUST-10017,2024-04-02 19:53:00,Savings Account,Money Market Account,Transfer & Withdrawal Limits,Wire transfer held for security review,Web Portal,29,Mass Market,Southeast,17,19,1862.56,Filing a formal complaint about wire transfer held for security review. Resolution has taken too long and I am considering closing my account.,2024-04-03 14:53:00,2024-04-04 03:53:00,Closed with Non-Monetary Relief,Full Refund,0,4.0,Tier 1 General,1.33,0,0,LOW
CXP-2024-00461,CUST-10017,2024-06-13 19:15:00,Personal Loans,Unsecured Fixed Loan,Interest Rate Dispute,APR miscalculated on installment schedule,Web Portal,29,Mass Market,Southeast,17,19,1862.56,Urgent issue: APR miscalculated on installment schedule regarding Personal Loans. I request an immediate refund and resolution. My account tenure is 17 months and I expect better service.,2024-06-14 00:15:00,2024-06-19 06:15:00,Closed with Explanation,Dispute Denied,0,3.0,Tier 1 General,5.46,1,1,HIGH
CXP-2024-00274,CUST-10018,2024-04-08 16:38:00,Digital Banking,Web Online Portal,Digital Dispute Tool Error,Document upload failing for chargeback,Phone / Contact Center,53,Emerging Wealth,Southwest,9,31,3999.74,Filing a formal complaint about document upload failing for chargeback. Resolution has taken too long and I am considering closing my account.,2024-04-09 06:38:00,2024-04-17 18:38:00,Closed with Non-Monetary Relief,Fee Waived,1,2.0,Tier 2 Escalations,9.08,1,0,CRITICAL
CXP-2024-00362,CUST-10018,2024-07-11 20:24:00,Credit Card,Platinum Rewards Card,Interest Rate Dispute,Balance transfer fee dispute,Web Portal,53,Emerging Wealth,Southwest,9,31,3999.74,Extremely frustrated with the balance transfer fee dispute on my Platinum Rewards Card. This has happened multiple times and customer support failed to resolve it promptly.,2024-07-12 11:24:00,2024-07-13 01:24:00,Closed with Non-Monetary Relief,Statement Credit,0,3.0,Tier 1 General,1.21,0,0,LOW
CXP-2024-00303,CUST-10018,2024-09-06 09:53:00,Credit Card,Basic Credit Card,Rewards Redemption Failure,Points failed to credit after promotion,Mobile App,53,Emerging Wealth,Southwest,9,31,3999.74,Filing a formal complaint about points failed to credit after promotion. Resolution has taken too long and I am considering closing my account.,2024-09-06 17:53:00,2024-09-10 21:53:00,Closed with Explanation,Policy Explanation,0,3.0,Tier 1 General,4.5,0,1,HIGH
CXP-2024-00105,CUST-10019,2024-01-14 15:25:00,Credit Card,Travel Elite Card,Billing & Fee Dispute,Annual fee charged unexpectedly,Mobile App,46,Mass Market,Midwest,106,13,1345.49,Urgent issue: Annual fee charged unexpectedly regarding Credit Card. I request an immediate refund and resolution. My account tenure is 106 months and I expect better service.,2024-01-15 02:25:00,2024-01-15 18:25:00,Closed with Monetary Relief,Full Refund,0,5.0,Billing Services,1.12,0,0,LOW
CXP-2024-00408,CUST-10019,2025-10-02 08:03:00,Credit Card,Platinum Rewards Card,Fraud & Unauthorized Transaction,Card cloned at gas station,Web Portal,46,Mass Market,Midwest,106,13,1345.49,I am writing regarding my Platinum Rewards Card account. I encountered a severe card cloned at gas station on 2025-10-02. I tried resolving this via Web Portal but the service was disappointing.,2025-10-03 01:03:00,2025-10-03 19:03:00,Closed with Explanation,Dispute Denied,0,4.0,Fraud Ops,1.46,0,0,HIGH
CXP-2024-00170,CUST-10020,2024-09-27 14:12:00,Credit Card,Platinum Rewards Card,Credit Line Decrease,Credit score drop notification error,Phone / Contact Center,22,Premium Cardholder,Southwest,40,12,2746.26,Extremely frustrated with the credit score drop notification error on my Platinum Rewards Card. This has happened multiple times and customer support failed to resolve it promptly.,2024-09-27 20:12:00,2024-09-28 17:12:00,Closed with Non-Monetary Relief,Full Refund,0,4.0,Tier 1 General,1.12,0,0,LOW
CXP-2024-00250,CUST-10020,2025-02-09 19:05:00,Digital Banking,Web Online Portal,Security & Credentials,Device registration loop error,Phone / Contact Center,22,Premium Cardholder,Southwest,40,12,2746.26,Disputed charge and device registration loop error on Web Online Portal. The app crashed and agent on phone was unable to waive fees.,2025-02-10 16:05:00,2025-02-20 20:05:00,Closed with Non-Monetary Relief,Fee Waived,0,3.0,Digital Tech Support,11.04,1,0,MEDIUM
CXP-2024-00320,CUST-10020,2025-06-07 15:47:00,Credit Card,Cash Back Preferred,Interest Rate Dispute,Balance transfer fee dispute,Mobile App,22,Premium Cardholder,Southwest,40,12,2746.26,I am writing regarding my Cash Back Preferred account. I encountered a severe balance transfer fee dispute on 2025-06-07. I tried resolving this via Mobile App but the service was disappointing.,2025-06-07 21:47:00,2025-06-16 03:47:00,Closed with Non-Monetary Relief,Full Refund,1,1.0,Tier 2 Escalations,8.5,1,0,CRITICAL
CXP-2024-00393,CUST-10021,2024-04-02 14:10:00,Savings Account,High Yield Savings,Interest Rate Dispute,Interest payout missing for month,Web Portal,52,Premium Cardholder,Southeast,42,38,6677.04,Extremely frustrated with the interest payout missing for month on my High Yield Savings. This has happened multiple times and customer support failed to resolve it promptly.,2024-04-02 21:10:00,2024-04-04 20:10:00,Closed with Explanation,Policy Explanation,0,4.0,Tier 1 General,2.25,0,0,LOW
CXP-2024-00022,CUST-10021,2024-11-29 15:19:00,Savings Account,Certificate of Deposit (CD),Interest Rate Dispute,Promotional APY rate dropped early,Web Portal,52,Premium Cardholder,Southeast,42,38,6677.04,Filing a formal complaint about promotional apy rate dropped early. Resolution has taken too long and I am considering closing my account.,2024-11-30 09:19:00,2024-12-06 00:19:00,Closed with Monetary Relief,Statement Credit,0,2.0,Tier 1 General,6.38,1,0,MEDIUM
CXP-2024-00287,CUST-10021,2025-03-24 15:51:00,Credit Card,Platinum Rewards Card,Rewards Redemption Failure,Cashback balance calculation error,Mobile App,52,Premium Cardholder,Southeast,42,38,6677.04,I am writing regarding my Platinum Rewards Card account. I encountered a severe cashback balance calculation error on 2025-03-24. I tried resolving this via Mobile App but the service was disappointing.,2025-03-25 00:51:00,2025-03-26 00:51:00,Closed with Monetary Relief,Statement Credit,0,5.0,Tier 1 General,1.38,0,0,LOW
CXP-2024-00154,CUST-10021,2025-12-18 10:55:00,Digital Banking,Web Online Portal,Mobile App Access/Outage,Two-factor authentication SMS delayed,Phone / Contact Center,52,Premium Cardholder,Southeast,42,38,6677.04,Extremely frustrated with the two-factor authentication sms delayed on my Web Online Portal. This has happened multiple times and customer support failed to resolve it promptly.,2025-12-19 06:55:00,2025-12-30 19:55:00,Closed with Monetary Relief,Fee Waived,0,4.0,Digital Tech Support,12.38,1,0,MEDIUM
CXP-2024-00157,CUST-10022,2024-12-22 14:35:00,Credit Card,Platinum Rewards Card,Credit Line Decrease,Requested limit increase denied,Branch,43,Mass Market,Midwest,2,13,1635.36,Disputed charge and requested limit increase denied on Platinum Rewards Card. The app crashed and agent on phone was unable to waive fees.,2024-12-23 14:35:00,2024-12-25 17:35:00,Closed with Explanation,Policy Explanation,0,4.0,Tier 1 General,3.12,0,0,LOW
CXP-2024-00217,CUST-10022,2025-11-08 10:31:00,Credit Card,Travel Elite Card,Fraud & Unauthorized Transaction,Phishing transaction alert,Mobile App,43,Mass Market,Midwest,2,13,1635.36,Urgent issue: Phishing transaction alert regarding Credit Card. I request an immediate refund and resolution. My account tenure is 2 months and I expect better service.,2025-11-09 08:31:00,2025-11-10 21:31:00,Closed with Monetary Relief,Fee Waived,0,5.0,Fraud Ops,2.46,0,0,HIGH
CXP-2024-00107,CUST-10023,2024-06-20 15:53:00,Credit Card,Cash Back Preferred,Fraud & Unauthorized Transaction,Card cloned at gas station,Mobile App,44,Mass Market,Southeast,267,11,1471.53,Extremely frustrated with the card cloned at gas station on my Cash Back Preferred. This has happened multiple times and customer support failed to resolve it promptly.,2024-06-21 10:53:00,2024-06-30 19:53:00,Closed with Explanation,Policy Explanation,0,4.0,Fraud Ops,10.17,1,0,HIGH
CXP-2024-00272,CUST-10023,2024-07-22 13:27:00,Digital Banking,Mobile App Android,Mobile App Access/Outage,Session timeout during transfer,Phone / Contact Center,44,Mass Market,Southeast,267,11,1471.53,Disputed charge and session timeout during transfer on Mobile App Android. The app crashed and agent on phone was unable to waive fees.,2024-07-22 22:27:00,2024-07-30 16:27:00,Closed with Monetary Relief,Fee Waived,0,2.0,Digital Tech Support,8.12,1,1,HIGH
CXP-2024-00405,CUST-10024,2024-07-21 12:58:00,Digital Banking,Mobile App Android,Security & Credentials,Unrecognized login security alert,Written / Mail,37,Mass Market,Southeast,26,8,2034.95,Extremely frustrated with the unrecognized login security alert on my Mobile App Android. This has happened multiple times and customer support failed to resolve it promptly.,2024-07-22 01:58:00,2024-07-22 22:58:00,Closed with Explanation,Policy Explanation,0,5.0,Digital Tech Support,1.42,0,0,LOW
CXP-2024-00017,CUST-10024,2024-09-05 13:26:00,Savings Account,Certificate of Deposit (CD),Interest Rate Dispute,Tiered balance APY threshold issue,Web Portal,37,Mass Market,Southeast,26,8,2034.95,Extremely frustrated with the tiered balance apy threshold issue on my Certificate of Deposit (CD). This has happened multiple times and customer support failed to resolve it promptly.,2024-09-06 04:26:00,2024-09-11 15:26:00,Closed with Explanation,Dispute Denied,0,1.0,Tier 1 General,6.08,1,1,HIGH
CXP-2024-00236,CUST-10024,2025-03-31 11:39:00,Credit Card,Basic Credit Card,Interest Rate Dispute,Interest charged during promotional 0% period,Mobile App,37,Mass Market,Southeast,26,8,2034.95,Extremely frustrated with the interest charged during promotional 0% period on my Basic Credit Card. This has happened multiple times and customer support failed to resolve it promptly.,2025-03-31 22:39:00,2025-04-01 16:39:00,Closed with Non-Monetary Relief,Fee Waived,0,4.0,Tier 1 General,1.21,0,0,LOW
CXP-2024-00196,CUST-10024,2025-05-08 11:23:00,Credit Card,Platinum Rewards Card,Fraud & Unauthorized Transaction,Card cloned at gas station,Phone / Contact Center,37,Mass Market,Southeast,26,8,2034.95,Disputed charge and card cloned at gas station on Platinum Rewards Card. The app crashed and agent on phone was unable to waive fees.,2025-05-09 10:23:00,2025-05-11 18:23:00,Closed with Monetary Relief,Statement Credit,0,3.0,Fraud Ops,3.29,0,1,HIGH
CXP-2024-00145,CUST-10024,2025-09-23 18:33:00,Personal Loans,Unsecured Fixed Loan,Loan Payoff & Closing,Title release delayed post payment,Phone / Contact Center,37,Mass Market,Southeast,26,8,2034.95,Urgent issue: Title release delayed post payment regarding Personal Loans. I request an immediate refund and resolution. My account tenure is 26 months and I expect better service.,2025-09-24 05:33:00,2025-09-29 21:33:00,Closed with Explanation,Dispute Denied,0,2.0,Tier 1 General,6.12,1,0,MEDIUM
CXP-2024-00045,CUST-10025,2024-04-11 11:58:00,Savings Account,High Yield Savings,Interest Rate Dispute,Interest payout missing for month,Mobile App,39,Emerging Wealth,Southeast,80,28,3176.47,I am writing regarding my High Yield Savings account. I encountered a severe interest payout missing for month on 2024-04-11. I tried resolving this via Mobile App but the service was disappointing.,2024-04-12 09:58:00,2024-04-20 17:58:00,Closed with Monetary Relief,Full Refund,1,2.0,Tier 2 Escalations,9.25,1,0,CRITICAL
CXP-2024-00169,CUST-10025,2024-12-12 16:27:00,Digital Banking,Mobile App Android,Mobile App Access/Outage,App crashing upon biometric login,Mobile App,39,Emerging Wealth,Southeast,80,28,3176.47,I am writing regarding my Mobile App Android account. I encountered a severe app crashing upon biometric login on 2024-12-12. I tried resolving this via Mobile App but the service was disappointing.,2024-12-12 21:27:00,2024-12-14 00:27:00,Closed with Non-Monetary Relief,Full Refund,0,4.0,Digital Tech Support,1.33,0,0,LOW
CXP-2024-00347,CUST-10026,2025-05-29 13:45:00,Personal Loans,Unsecured Fixed Loan,Billing & Fee Dispute,Origination fee incorrectly applied,Web Portal,72,Mass Market,West Coast,1,13,2212.98,Filing a formal complaint about origination fee incorrectly applied. Resolution has taken too long and I am considering closing my account.,2025-05-29 15:45:00,2025-05-30 18:45:00,Closed with Explanation,Dispute Denied,0,4.0,Billing Services,1.21,0,0,LOW
CXP-2024-00167,CUST-10027,2024-04-07 11:32:00,Digital Banking,Mobile App Android,Mobile App Access/Outage,App crashing upon biometric login,Phone / Contact Center,57,Emerging Wealth,West Coast,77,15,2915.1,Urgent issue: App crashing upon biometric login regarding Digital Banking. I request an immediate refund and resolution. My account tenure is 77 months and I expect better service.,2024-04-08 10:32:00,2024-04-12 23:32:00,Closed with Explanation,Policy Explanation,1,2.0,Tier 2 Escalations,5.5,1,0,CRITICAL
CXP-2024-00426,CUST-10028,2025-01-19 08:36:00,Credit Card,Basic Credit Card,Fraud & Unauthorized Transaction,Card cloned at gas station,Web Portal,54,High Net Worth,Southeast,2,82,13293.67,Filing a formal complaint about card cloned at gas station. Resolution has taken too long and I am considering closing my account.,2025-01-19 18:36:00,2025-01-26 19:36:00,Closed with Non-Monetary Relief,Statement Credit,0,3.0,Fraud Ops,7.46,1,0,HIGH
CXP-2024-00128,CUST-10030,2025-02-01 09:44:00,Personal Loans,Debt Consolidation Loan,Billing & Fee Dispute,Direct debit pulled twice,Mobile App,24,Mass Market,Southeast,44,10,1874.43,Urgent issue: Direct debit pulled twice regarding Personal Loans. I request an immediate refund and resolution. My account tenure is 44 months and I expect better service.,2025-02-01 18:44:00,2025-02-03 15:44:00,Closed with Monetary Relief,Fee Waived,0,5.0,Billing Services,2.25,0,0,LOW
CXP-2024-00325,CUST-10032,2024-07-21 16:49:00,Credit Card,Travel Elite Card,Credit Line Decrease,Credit score drop notification error,Web Portal,46,Mass Market,West Coast,7,14,1967.8,Extremely frustrated with the credit score drop notification error on my Travel Elite Card. This has happened multiple times and customer support failed to resolve it promptly.,2024-07-21 21:49:00,2024-08-02 20:49:00,Closed with Non-Monetary Relief,Full Refund,1,1.0,Tier 2 Escalations,12.17,1,0,CRITICAL
CXP-2024-00400,CUST-10032,2025-04-13 08:29:00,Digital Banking,Mobile App Android,Digital Dispute Tool Error,Dispute submission button unresponsive,Web Portal,46,Mass Market,West Coast,7,14,1967.8,Extremely frustrated with the dispute submission button unresponsive on my Mobile App Android. This has happened multiple times and customer support failed to resolve it promptly.,2025-04-13 16:29:00,2025-04-19 16:29:00,Closed with Monetary Relief,Full Refund,0,3.0,Digital Tech Support,6.33,1,0,MEDIUM
CXP-2024-00136,CUST-10032,2025-12-01 11:01:00,Personal Loans,Debt Consolidation Loan,Interest Rate Dispute,Prepayment penalty charged unfairly,Phone / Contact Center,46,Mass Market,West Coast,7,14,1967.8,Extremely frustrated with the prepayment penalty charged unfairly on my Debt Consolidation Loan. This has happened multiple times and customer support failed to resolve it promptly.,2025-12-02 10:01:00,2025-12-10 22:01:00,Closed with Monetary Relief,Statement Credit,0,5.0,Tier 1 General,9.46,1,0,MEDIUM
CXP-2024-00421,CUST-10034,2024-07-07 19:21:00,Digital Banking,Mobile App Android,Mobile App Access/Outage,Session timeout during transfer,Mobile App,68,Emerging Wealth,Northeast,18,28,4335.06,Filing a formal complaint about session timeout during transfer. Resolution has taken too long and I am considering closing my account.,2024-07-08 12:21:00,2024-07-08 21:21:00,Closed with Monetary Relief,Statement Credit,0,4.0,Digital Tech Support,1.08,0,0,LOW
CXP-2024-00246,CUST-10034,2025-01-10 10:41:00,Credit Card,Platinum Rewards Card,Billing & Fee Dispute,Annual fee charged unexpectedly,Mobile App,68,Emerging Wealth,Northeast,18,28,4335.06,Extremely frustrated with the annual fee charged unexpectedly on my Platinum Rewards Card. This has happened multiple times and customer support failed to resolve it promptly.,2025-01-11 02:41:00,2025-01-14 13:41:00,Closed with Non-Monetary Relief,Full Refund,0,4.0,Billing Services,4.12,0,0,MEDIUM
CXP-2024-00300,CUST-10035,2024-09-10 09:41:00,Savings Account,High Yield Savings,Account Maintenance,Paper statement fee dispute,Phone / Contact Center,43,Premium Cardholder,Midwest,34,65,7764.51,Disputed charge and paper statement fee dispute on High Yield Savings. The app crashed and agent on phone was unable to waive fees.,2024-09-10 23:41:00,2024-09-15 14:41:00,Closed with Explanation,Dispute Denied,0,1.0,Tier 1 General,5.21,1,0,MEDIUM
CXP-2024-00445,CUST-10035,2025-02-06 20:23:00,Personal Loans,Emergency Express Loan,Billing & Fee Dispute,Origination fee incorrectly applied,Phone / Contact Center,43,Premium Cardholder,Midwest,34,65,7764.51,I am writing regarding my Emergency Express Loan account. I encountered a severe origination fee incorrectly applied on 2025-02-06. I tried resolving this via Phone / Contact Center but the service was disappointing.,2025-02-07 14:23:00,2025-02-15 07:23:00,Closed with Non-Monetary Relief,Statement Credit,0,2.0,Billing Services,8.46,1,0,MEDIUM
CXP-2024-00143,CUST-10036,2025-06-17 16:34:00,Credit Card,Basic Credit Card,Credit Line Decrease,Credit score drop notification error,Web Portal,55,Mass Market,Southeast,2,16,1587.75,Disputed charge and credit score drop notification error on Basic Credit Card. The app crashed and agent on phone was unable to waive fees.,2025-06-18 00:34:00,2025-06-18 22:34:00,Closed with Explanation,Dispute Denied,0,5.0,Tier 1 General,1.25,0,0,LOW
CXP-2024-00083,CUST-10038,2024-03-12 20:48:00,Personal Loans,Debt Consolidation Loan,Billing & Fee Dispute,Payment processing delay causing late status,Phone / Contact Center,59,Mass Market,Northeast,16,8,947.87,Urgent issue: Payment processing delay causing late status regarding Personal Loans. I request an immediate refund and resolution. My account tenure is 16 months and I expect better service.,2024-03-13 16:48:00,2024-03-16 06:48:00,Closed with Explanation,Policy Explanation,0,3.0,Billing Services,3.42,0,0,LOW
CXP-2024-00324,CUST-10038,2024-12-06 18:26:00,Savings Account,High Yield Savings,Interest Rate Dispute,Promotional APY rate dropped early,Phone / Contact Center,59,Mass Market,Northeast,16,8,947.87,Urgent issue: Promotional APY rate dropped early regarding Savings Account. I request an immediate refund and resolution. My account tenure is 16 months and I expect better service.,2024-12-07 03:26:00,2024-12-10 01:26:00,Closed with Explanation,Policy Explanation,0,5.0,Tier 1 General,3.29,0,0,LOW
CXP-2024-00375,CUST-10038,2025-11-04 09:12:00,Savings Account,Money Market Account,Account Maintenance,Joint owner addition delayed,Web Portal,59,Mass Market,Northeast,16,8,947.87,Filing a formal complaint about joint owner addition delayed. Resolution has taken too long and I am considering closing my account.,2025-11-05 02:12:00,2025-11-06 10:12:00,Closed with Non-Monetary Relief,Statement Credit,0,4.0,Tier 1 General,2.04,0,0,LOW
